time_s,throttle_pct,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah
0.0606,3,0,0.0,0,40.53,0.09,27,16
0.1612,3,0,0.0,0,40.53,0.09,27,16
0.2614,3,0,0.0,0,40.53,0.09,28,16
0.3617,3,0,0.0,0,40.53,0.09,28,16
0.4619,3,0,0.0,0,40.53,0.09,27,16
0.5622,3,0,0.0,0,40.53,0.09,27,16
0.6627,3,0,0.0,0,40.53,0.09,27,16
0.7629,3,0,0.0,0,40.53,0.09,28,16
0.8631,3,0,0.0,0,40.53,0.09,27,16
0.9634,3,0,0.0,0,40.53,0.09,27,16
1.0637,3,0,0.0,0,40.53,0.09,27,16
1.164,3,0,0.0,0,40.53,0.09,28,16
1.2642,3,0,0.0,0,40.53,0.09,28,16
1.3645,3,0,0.0,0,40.53,0.09,27,16
1.4647,3,0,0.0,0,40.53,0.09,28,16
1.565,3,0,0.0,0,40.53,0.09,28,16
1.6653,3,0,0.0,0,40.53,0.09,28,16
1.7654,3,0,0.0,0,40.53,0.09,28,16
1.8657,3,0,0.0,0,40.53,0.09,28,16
1.9659,3,0,0.0,0,40.53,0.09,28,16
2.0661,3,0,0.0,0,40.53,0.09,27,16
2.1664,3,0,0.0,0,40.53,0.09,27,16
2.2666,3,0,0.0,0,40.53,0.09,27,16
2.3669,3,0,0.0,0,40.53,0.09,27,16
2.4671,3,0,0.0,0,40.53,0.09,27,16
2.5675,3,0,0.0,0,40.53,0.09,27,16
2.6678,7,0,0.0,0,40.53,0.09,27,16
2.768,7,4784,0.0,171,40.51,0.12,27,16
2.8683,7,1541,0.0,1514,40.52,0.32,27,16
2.9685,7,1939,0.0,1857,40.52,0.41,27,16
3.0686,7,2039,0.0,2071,40.52,0.51,27,16
3.1688,7,2205,0.0,2214,40.52,0.51,27,16
3.269,7,2255,0.0,2242,40.52,0.51,27,16
3.3692,7,2269,0.0,2257,40.52,0.48,27,16
3.4693,7,2257,0.0,2257,40.52,0.45,28,16
3.5695,7,2233,0.0,2257,40.52,0.45,27,16
3.6697,7,2255,0.0,2257,40.52,0.41,27,16
3.7699,7,2260,0.0,2271,40.52,0.45,27,16
3.8701,7,2247,0.0,2257,40.52,0.45,27,16
3.9704,7,2265,0.0,2257,40.52,0.45,27,16
4.0706,7,2264,0.0,2257,40.52,0.45,27,16
4.1708,7,2253,0.0,2271,40.52,0.45,28,17
4.2711,7,2253,0.0,2257,40.52,0.45,27,17
4.3714,7,2281,0.0,2257,40.52,0.45,28,17
4.4715,7,2257,0.0,2257,40.52,0.45,27,17
4.5716,7,2260,0.0,2257,40.52,0.45,27,17
4.6718,7,2332,0.0,2257,40.52,0.45,27,17
4.772,7,2238,0.0,2257,40.52,0.45,27,17
4.8721,7,2262,0.0,2257,40.52,0.45,27,17
4.9723,7,2262,0.0,2257,40.52,0.45,27,17
5.0724,10,2253,0.0,2257,40.53,0.45,28,17
5.1725,10,2371,0.0,2385,40.5,0.48,27,17
5.2727,10,2941,0.0,2857,40.5,0.57,27,17
5.3728,10,3089,0.0,3057,40.52,0.67,27,17
5.473,10,3086,0.0,3100,40.52,0.74,27,17
5.5737,10,3089,0.0,3100,40.52,0.77,27,17
5.6739,10,3083,0.0,3100,40.52,0.7,27,17
5.774,10,3105,0.0,3100,40.5,0.67,27,17
5.8741,10,3105,0.0,3100,40.52,0.67,28,17
5.9742,10,3054,0.0,3085,40.52,0.67,28,17
6.0744,10,3089,0.0,3100,40.52,0.67,28,17
6.1745,7,3125,0.0,3085,40.52,0.67,28,17
6.2746,7,2712,0.0,2400,41.02,0.54,27,17
6.3747,7,2331,0.0,2285,40.47,0.48,28,17
6.4748,7,2274,0.0,2271,40.5,0.41,28,17
6.575,7,2253,0.0,2257,40.51,0.38,27,17
6.6751,7,2260,0.0,2257,40.51,0.45,27,17
6.7753,7,2277,0.0,2257,40.52,0.45,28,17
6.8754,7,2250,0.0,2257,40.52,0.45,28,17
6.9755,7,2277,0.0,2257,40.52,0.45,28,17
7.0756,7,2250,0.0,2257,40.52,0.45,28,17
7.1757,7,2247,0.0,2257,40.52,0.45,28,17
7.2759,5,2257,0.0,2271,40.52,0.45,28,17
7.376,5,1984,0.0,1700,40.45,0.35,28,17
7.4761,5,1703,0.0,1614,40.49,0.28,28,17
7.5762,5,1605,0.0,1557,40.52,0.25,28,17
7.6763,5,1587,0.0,1528,40.52,0.25,28,17
7.7764,5,1532,0.0,1514,40.52,0.28,28,17
7.8765,5,1512,0.0,1514,40.52,0.28,27,17
7.9767,5,1501,0.0,1500,40.52,0.28,28,17
8.0768,5,1506,0.0,1500,40.52,0.28,28,17
8.1769,5,1498,0.0,1500,40.52,0.28,28,17
8.277,5,758,0.0,1500,40.52,0.28,27,17
8.3772,5,1496,0.0,1500,40.52,0.25,28,17
8.4773,5,1497,0.0,1500,40.52,0.28,28,17
8.5774,5,1482,0.0,1500,40.52,0.28,28,17
8.6775,5,1475,0.0,1500,40.52,0.28,28,17
8.7776,4,1499,0.0,1385,40.52,0.25,27,17
8.8777,4,1392,0.0,1271,40.52,0.25,28,17
8.9779,4,1277,0.0,1171,40.52,0.22,27,17
9.078,4,1189,0.0,1142,40.52,0.19,28,17
9.1781,4,1166,0.0,1128,40.52,0.19,28,17
9.2782,4,1116,0.0,1100,40.53,0.19,28,17
9.3783,4,1107,0.0,1100,40.53,0.19,28,17
9.4785,4,1096,0.0,1085,40.53,0.19,28,17
9.5788,4,1094,0.0,1085,40.54,0.19,28,17
9.679,4,1079,0.0,1071,40.53,0.19,28,17
9.7791,3,1084,0.0,1071,40.54,0.19,28,17
9.8794,3,1060,0.0,928,40.53,0.19,28,17
9.9795,3,970,0.0,828,40.53,0.19,28,17
10.0797,3,841,0.0,728,40.53,0.16,28,17
10.1799,3,815,0.0,700,40.54,0.16,28,17
10.2803,3,723,0.0,657,40.53,0.12,28,17
10.3805,3,677,0.0,642,40.53,0.12,28,17
10.4807,3,659,0.0,628,40.53,0.12,27,17
10.5809,3,638,0.0,614,40.54,0.12,28,17
10.6813,3,619,0.0,614,40.53,0.12,28,17
10.7815,3,616,0.0,600,40.53,0.12,28,17
10.8818,3,619,0.0,600,40.53,0.12,28,17
