time_s,throttle,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pitch_hall,enc_deg,pitch_enc
0.0508,394,0.16,2614,12.73,0.41,34,22,-5.0,0.0,
0.151,394,0.16,2614,12.73,0.41,34,22,-5.0,0.0,
0.2531,394,0.16,2614,12.73,0.41,34,22,-4.2,0.0,
0.3533,394,0.16,2614,12.73,0.41,34,22,-4.2,0.0,
0.4535,394,0.16,2614,12.73,0.41,34,22,-4.2,0.0,
0.5536,394,0.16,2614,12.73,0.41,34,22,-4.2,0.0,
0.6538,394,0.16,2614,12.73,0.41,34,22,-4.2,0.0,
0.7539,394,0.05,2614,12.73,0.41,34,22,-4.2,0.0,
0.8541,394,0.05,2614,12.73,0.41,34,22,-4.2,0.0,
0.9543,394,0.05,2614,12.73,0.41,34,22,-4.2,0.0,
1.0544,394,0.05,2614,12.72,0.38,33,22,-4.2,0.0,
1.1546,394,0.05,2614,12.72,0.38,33,22,-4.2,0.0,
1.2548,394,0.05,2614,12.72,0.38,33,22,-4.89,0.0,
1.355,394,0.05,2614,12.72,0.38,33,22,-4.89,0.0,
1.4552,394,0.05,2614,12.72,0.38,33,22,-4.89,0.0,
1.5553,394,0.05,2614,12.72,0.38,33,22,-4.89,0.0,
1.6555,394,0.05,2614,12.72,0.38,33,22,-4.89,0.0,
1.7556,394,0.32,2614,12.72,0.38,33,22,-4.89,0.0,
1.8558,394,0.32,2614,12.72,0.38,33,22,-4.89,0.0,
1.9559,394,0.32,2614,12.72,0.38,33,22,-4.89,0.0,
2.0561,394,0.32,2628,12.72,0.41,33,22,-4.89,0.0,
2.1562,394,0.32,2628,12.72,0.41,33,22,-4.89,0.0,
2.2568,394,0.32,2628,12.72,0.41,33,22,-4.63,0.0,
2.3569,394,0.32,2628,12.72,0.41,33,22,-4.63,0.0,
2.4571,394,0.32,2628,12.72,0.41,33,22,-4.63,0.0,
2.5573,394,0.32,2628,12.72,0.41,33,22,-4.63,0.0,
2.6574,394,0.32,2628,12.72,0.41,33,22,-4.63,0.0,
2.7576,504,0.1,2628,12.72,0.41,33,22,-4.63,0.0,
2.8577,504,0.1,2628,12.72,0.41,33,22,-4.63,0.0,
2.9579,504,0.1,2628,12.72,0.41,33,22,-4.63,0.0,
3.0581,504,0.1,3171,12.71,0.93,34,22,-4.63,0.0,
3.1583,504,0.1,3171,12.71,0.93,34,22,-4.63,0.0,
3.2585,504,0.1,3171,12.71,0.93,34,22,-2.82,0.0,
3.3587,504,0.1,3171,12.71,0.93,34,22,-2.82,0.0,
3.4588,504,0.1,3171,12.71,0.93,34,22,-2.82,0.0,
3.559,504,0.1,3171,12.71,0.93,34,22,-2.82,0.0,
3.6591,504,0.1,3171,12.71,0.93,34,22,-2.82,0.0,
3.7593,504,-1.98,3171,12.71,0.93,34,22,-2.82,0.0,
3.8594,504,-1.98,3171,12.71,0.93,34,22,-2.82,0.0,
3.9623,504,-1.98,3357,12.72,0.67,33,22,-2.82,0.0,
4.0624,504,-1.98,3357,12.72,0.67,33,22,-2.82,0.0,
4.1626,504,-1.98,3357,12.72,0.67,33,22,-2.82,0.0,
4.2628,504,-1.98,3357,12.72,0.67,33,22,-4.57,0.0,
4.363,563,-1.98,3357,12.72,0.67,33,22,-4.57,0.0,
4.4632,563,-1.98,3357,12.72,0.67,33,22,-4.57,0.0,
4.5633,563,-1.98,3357,12.72,0.67,33,22,-4.57,0.0,
4.6635,563,-1.98,3357,12.72,0.67,33,22,-4.57,0.0,
4.7637,563,-2.51,3357,12.72,0.67,33,22,-4.57,0.0,
4.8639,563,-2.51,3357,12.72,0.67,33,22,-4.57,0.0,
4.964,563,-2.51,3714,12.71,0.99,34,23,-4.57,0.0,
5.0642,563,-2.51,3714,12.71,0.99,34,23,-4.57,0.0,
5.1644,563,-2.51,3714,12.71,0.99,34,23,-4.57,0.0,
5.2646,563,-2.51,3714,12.71,0.99,34,23,-1.33,0.0,
5.3648,563,-2.51,3714,12.71,0.99,34,23,-1.33,0.0,
5.465,563,-2.51,3714,12.71,0.99,34,23,-1.33,0.0,
5.5651,563,-2.51,3714,12.71,0.99,34,23,-1.33,0.0,
5.6653,563,-2.51,3714,12.71,0.99,34,23,-1.33,0.0,
5.7654,563,-1.38,3714,12.71,0.99,34,23,-1.33,0.0,
5.8656,563,-1.38,3714,12.71,0.99,34,23,-1.33,0.0,
5.9657,563,-1.38,3657,12.72,0.96,34,23,-1.33,0.0,
6.0659,563,-1.38,3657,12.72,0.96,34,23,-1.33,0.0,
6.166,563,-1.38,3657,12.72,0.96,34,23,-1.33,0.0,
6.2664,563,-1.38,3657,12.72,0.96,34,23,-0.19,0.0,
6.3666,563,-1.38,3657,12.72,0.96,34,23,-0.19,0.0,
6.4667,563,-1.38,3657,12.72,0.96,34,23,-0.19,0.0,
6.5669,563,-1.38,3657,12.72,0.96,34,23,-0.19,0.0,
6.667,563,-1.38,3657,12.72,0.96,34,23,-0.19,0.0,
6.7672,563,-0.98,3657,12.72,0.96,34,23,-0.19,0.0,
6.8673,563,-0.98,3657,12.72,0.96,34,23,-0.19,0.0,
6.9676,563,-0.98,3742,12.72,0.9,34,23,-0.19,0.0,
7.0677,563,-0.98,3742,12.72,0.9,34,23,-0.19,0.0,
7.1679,563,-0.98,3742,12.72,0.9,34,23,-0.19,0.0,
7.2682,563,-0.98,3742,12.72,0.9,34,23,-1.86,0.0,
7.3726,563,-0.98,3742,12.72,0.9,34,23,-1.86,0.0,
7.4727,563,-0.98,3742,12.72,0.9,34,23,-1.86,0.0,
7.5728,563,-0.98,3742,12.72,0.9,34,23,-1.86,0.0,
7.6729,563,-0.98,3742,12.72,0.9,34,23,-1.86,0.0,
7.773,563,-1.04,3742,12.72,0.9,34,23,-1.86,0.0,
7.8731,563,-1.04,3742,12.72,0.9,34,23,-1.86,0.0,
7.9732,563,-1.04,3671,12.71,0.93,34,24,-1.86,0.0,
8.0733,563,-1.04,3671,12.71,0.93,34,24,-1.86,0.0,
8.1734,563,-1.04,3671,12.71,0.93,34,24,-1.86,0.0,
8.2735,563,-1.04,3671,12.71,0.93,34,24,-1.05,0.0,
8.3736,563,-1.04,3671,12.71,0.93,34,24,-1.05,0.0,
8.4737,563,-1.04,3671,12.71,0.93,34,24,-1.05,0.0,
8.5738,563,-1.04,3671,12.71,0.93,34,24,-1.05,0.0,
8.6738,563,-1.04,3671,12.71,0.93,34,24,-1.05,0.0,
8.7739,563,-0.74,3671,12.71,0.93,34,24,-1.05,0.0,
8.874,563,-0.74,3671,12.71,0.93,34,24,-1.05,0.0,
8.9741,563,-0.74,3671,12.72,0.96,34,24,-1.05,0.0,
9.0742,585,-0.74,3671,12.72,0.96,34,24,-1.05,0.0,
9.1743,585,-0.74,3671,12.72,0.96,34,24,-1.05,0.0,
9.2744,585,-0.74,3671,12.72,0.96,34,24,-1.55,0.0,
9.3745,585,-0.74,3671,12.72,0.96,34,24,-1.55,0.0,
9.4746,585,-0.74,3671,12.72,0.96,34,24,-1.55,0.0,
9.5747,585,-0.74,3671,12.72,0.96,34,24,-1.55,0.0,
9.6748,585,-0.74,3671,12.72,0.96,34,24,-1.55,0.0,
9.7749,585,-0.4,3671,12.72,0.96,34,24,-1.55,0.0,
9.875,585,-0.4,3671,12.72,0.96,34,24,-1.55,0.0,
9.9751,585,-0.4,3857,12.72,1.06,34,24,-1.55,0.0,
10.0752,585,-0.4,3857,12.72,1.06,34,24,-1.55,0.0,
10.1752,585,-0.4,3857,12.72,1.06,34,24,-1.55,0.0,
10.2753,585,-0.4,3857,12.72,1.06,34,24,-0.99,0.0,
10.3754,585,-0.4,3857,12.72,1.06,34,24,-0.99,0.0,
10.4755,585,-0.4,3857,12.72,1.06,34,24,-0.99,0.0,
10.5756,585,-0.4,3857,12.72,1.06,34,24,-0.99,0.0,
10.6757,585,-0.4,3857,12.72,1.06,34,24,-0.99,0.0,
10.7758,585,-0.68,3857,12.72,1.06,34,24,-0.99,0.0,
10.8759,585,-0.68,3857,12.72,1.06,34,24,-0.99,0.0,
10.976,585,-0.68,3785,12.71,1.06,34,24,-0.99,0.0,
11.076,585,-0.68,3785,12.71,1.06,34,24,-0.99,0.0,
11.1761,585,-0.68,3785,12.71,1.06,34,24,-0.99,0.0,
11.2762,585,-0.68,3785,12.71,1.06,34,24,-12.78,0.0,
11.3763,585,-0.68,3785,12.71,1.06,34,24,-12.78,0.0,
11.4764,585,-0.68,3785,12.71,1.06,34,24,-12.78,0.0,
11.5765,585,-0.68,3785,12.71,1.06,34,24,-12.78,0.0,
11.6766,585,-0.68,3785,12.71,1.06,34,24,-12.78,0.0,
11.7767,585,-0.71,3785,12.71,1.06,34,24,-12.78,0.0,
11.8767,585,-0.71,3785,12.71,1.06,34,24,-12.78,0.0,
11.9768,585,-0.71,3842,12.7,1.03,34,25,-12.78,0.0,
12.0769,585,-0.71,3842,12.7,1.03,34,25,-12.78,0.0,
12.177,585,-0.71,3842,12.7,1.03,34,25,-12.78,0.0,
12.2771,585,-0.71,3842,12.7,1.03,34,25,-10.61,0.0,
12.3773,585,-0.71,3842,12.7,1.03,34,25,-10.61,0.0,
12.4775,585,-0.71,3842,12.7,1.03,34,25,-10.61,0.0,
12.5776,585,-0.71,3842,12.7,1.03,34,25,-10.61,0.0,
12.6777,585,-0.71,3842,12.7,1.03,34,25,-10.61,0.0,
12.7779,585,-0.75,3842,12.7,1.03,34,25,-10.61,0.0,
12.8782,688,-0.75,3842,12.7,1.03,34,25,-10.61,0.0,
12.9783,688,-0.75,4114,12.72,1.6,34,25,-10.61,0.0,
13.0785,688,-0.75,4114,12.72,1.6,34,25,-10.61,0.0,
13.1787,688,-0.75,4114,12.72,1.6,34,25,-10.61,0.0,
13.2788,688,-0.75,4114,12.72,1.6,34,25,-1.26,0.0,
13.379,688,-0.75,4114,12.72,1.6,34,25,-1.26,0.0,
13.4791,688,-0.75,4114,12.72,1.6,34,25,-1.26,0.0,
13.5793,688,-0.75,4114,12.72,1.6,34,25,-1.26,0.0,
13.6794,688,-0.75,4114,12.72,1.6,34,25,-1.26,0.0,
13.7796,688,4.77,4114,12.72,1.6,34,25,-1.26,0.0,
13.8798,688,4.77,4114,12.72,1.6,34,25,-1.26,0.0,
13.9799,688,4.77,4557,12.7,1.54,34,25,-1.26,0.0,
14.0801,688,4.77,4557,12.7,1.54,34,25,-1.26,0.0,
14.1802,688,4.77,4557,12.7,1.54,34,25,-1.26,0.0,
14.2805,445,4.77,4557,12.7,1.54,34,25,-0.16,0.0,
14.3807,445,4.77,4557,12.7,1.54,34,25,-0.16,0.0,
14.4808,445,4.77,4557,12.7,1.54,34,25,-0.16,0.0,
14.581,445,4.77,4557,12.7,1.54,34,25,-0.16,0.0,
14.6811,445,4.77,4557,12.7,1.54,34,25,-0.16,0.0,
14.7813,445,-0.09,4557,12.7,1.54,34,25,-0.16,0.0,
14.8814,445,-0.09,4557,12.7,1.54,34,25,-0.16,0.0,
14.9816,445,-0.09,3028,12.71,0.19,34,25,-0.16,0.0,
15.0817,445,-0.09,3028,12.71,0.19,34,25,-0.16,0.0,
15.1819,445,-0.09,3028,12.71,0.19,34,25,-0.16,0.0,
15.2821,239,-0.09,3028,12.71,0.19,34,25,-0.2,0.0,
15.3822,239,-0.09,3028,12.71,0.19,34,25,-0.2,0.0,
15.4824,239,-0.09,3028,12.71,0.19,34,25,-0.2,0.0,
15.5825,239,-0.09,3028,12.71,0.19,34,25,-0.2,0.0,
15.6826,239,-0.09,3028,12.71,0.19,34,25,-0.2,0.0,
15.7828,239,2.94,3028,12.71,0.19,34,25,-0.2,0.0,
15.883,239,2.94,3028,12.71,0.19,34,25,-0.2,0.0,
15.9831,239,2.94,1657,12.59,0.06,34,25,-0.2,0.0,
16.0833,239,2.94,1657,12.59,0.06,34,25,-0.2,0.0,
16.1834,239,2.94,1657,12.59,0.06,34,25,-0.2,0.0,
16.2836,239,2.94,1657,12.59,0.06,34,25,-0.5,0.0,
16.3838,239,2.94,1657,12.59,0.06,34,25,-0.5,0.0,
16.4841,0,2.94,1657,12.59,0.06,34,25,-0.5,0.0,
16.5842,0,2.94,1657,12.59,0.06,34,25,-0.5,0.0,
16.6844,0,2.94,1657,12.59,0.06,34,25,-0.5,0.0,
16.7845,0,1.16,1657,12.59,0.06,34,25,-0.5,0.0,
16.8847,0,1.16,1657,12.59,0.06,34,25,-0.5,0.0,
16.9849,0,1.16,0,12.71,0.03,34,25,-0.5,0.0,
17.0851,0,1.16,0,12.71,0.03,34,25,-0.5,0.0,
17.1852,0,1.16,0,12.71,0.03,34,25,-0.5,0.0,
17.2854,0,1.16,0,12.71,0.03,34,25,-35.94,0.0,
17.3856,0,1.16,0,12.71,0.03,34,25,-35.94,0.0,
17.4857,0,1.16,0,12.71,0.03,34,25,-35.94,0.0,
17.5859,0,1.16,0,12.71,0.03,34,25,-35.94,0.0,
17.686,0,1.16,0,12.71,0.03,34,25,-35.94,0.0,
