time_s,throttle_pct,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah
0.0048,5,0,0.0,0,40.48,0.03,30,24
0.105,5,0,0.0,0,40.48,0.03,30,24
0.2052,5,0,0.0,0,40.48,0.03,30,24
0.3053,5,0,0.0,0,40.48,0.03,30,24
0.4055,5,0,0.0,0,40.48,0.03,30,24
0.5057,5,0,0.0,0,40.48,0.03,30,24
0.6061,5,0,0.0,0,40.48,0.03,30,24
0.7063,5,0,0.0,0,40.48,0.03,30,24
0.8065,5,0,0.0,0,40.48,0.03,30,24
0.9066,5,0,0.0,0,40.48,0.03,30,24
1.0069,5,0,0.0,0,40.48,0.03,30,24
1.1072,5,0,0.0,0,40.48,0.03,30,24
1.2074,5,0,0.0,0,40.48,0.03,30,24
1.3075,5,0,0.0,0,40.48,0.03,30,24
1.4076,5,0,0.0,0,40.48,0.03,30,24
1.5077,5,0,0.0,0,40.48,0.03,30,24
1.6078,5,0,0.0,0,40.48,0.03,30,24
1.7079,5,0,0.0,0,40.48,0.03,30,24
1.808,5,0,0.0,0,40.48,0.03,30,24
1.9081,5,0,0.0,0,40.48,0.03,30,24
2.0082,5,0,0.0,0,40.48,0.03,30,24
2.1084,5,0,0.0,0,40.48,0.03,30,24
2.2085,5,0,0.0,342,40.49,0.09,30,24
2.3086,5,0,0.0,471,40.51,0.09,30,24
2.4087,5,0,0.0,257,40.51,0.09,30,24
2.5088,5,0,0.0,128,40.5,0.06,30,24
2.6089,5,0,0.0,514,40.5,0.06,30,24
2.709,5,0,0.0,300,40.5,0.06,30,24
2.8092,5,0,0.0,200,40.51,0.06,30,24
2.9093,5,0,0.0,300,40.48,0.06,30,24
3.0094,5,0,0.0,400,40.49,0.09,30,24
3.1095,5,0,0.0,257,40.5,0.09,30,24
3.2097,5,0,0.0,128,40.5,0.03,30,24
3.3098,5,0,0.0,457,40.51,0.06,30,24
3.4099,5,0,0.0,342,40.49,0.06,30,24
3.51,5,0,0.0,185,40.52,0.06,30,24
3.6101,5,0,0.0,128,40.5,0.06,30,24
3.7102,5,0,0.0,471,40.5,0.06,30,24
3.8103,10,0,0.0,314,40.5,0.06,30,24
3.9104,10,0,0.0,2014,40.22,0.48,30,24
4.0105,10,0,0.0,2657,40.48,0.64,30,24
4.1106,10,0,0.0,3057,40.48,0.86,30,24
4.2108,10,0,0.0,3100,40.5,1.03,30,24
4.3109,10,0,0.0,3100,40.5,0.74,30,24
4.411,10,0,0.0,3100,40.5,0.67,30,24
4.5111,10,0,0.0,3100,40.51,0.61,30,24
4.6112,10,0,0.0,3085,40.5,0.61,30,24
4.7113,10,0,0.0,3100,40.5,0.61,30,24
4.8114,10,0,0.0,3114,40.5,0.61,30,24
4.9115,10,0,0.0,3100,40.49,0.61,30,24
5.0116,10,0,0.0,3100,40.49,0.61,30,24
5.1117,10,0,0.0,3114,40.48,0.61,30,24
5.2119,10,0,0.0,3114,40.48,0.61,30,24
5.312,10,0,0.0,3114,40.48,0.61,30,24
5.4121,10,0,0.0,3100,40.5,0.61,30,24
5.5122,9,0,0.0,3114,40.5,0.61,30,24
5.6123,9,0,0.0,2871,40.5,0.54,30,24
5.7124,9,0,0.0,2842,40.48,0.51,30,24
5.8125,9,0,0.0,2842,40.48,0.51,30,24
5.9131,9,0,0.0,2842,40.48,0.48,30,24
6.0133,9,0,0.0,2842,40.49,0.51,30,24
6.1135,9,0,0.0,2842,40.48,0.51,30,24
6.2137,9,0,0.0,2842,40.49,0.51,30,24
6.3139,9,0,0.0,2842,40.49,0.51,30,24
6.414,9,0,0.0,2842,40.49,0.54,30,24
6.5141,9,0,0.0,2857,40.5,0.54,30,24
6.6144,9,0,0.0,2842,40.48,0.54,30,24
6.7146,7,0,0.0,2514,40.95,0.48,30,24
6.8147,7,0,0.0,2300,40.46,0.38,30,24
6.9149,7,0,0.0,2271,40.48,0.35,30,24
7.0151,7,0,0.0,2271,40.48,0.32,30,24
7.1153,7,0,0.0,2271,40.48,0.35,30,24
7.2155,7,0,0.0,2271,40.48,0.38,30,24
7.3157,7,0,0.0,2271,40.48,0.38,30,24
7.4158,7,0,0.0,2271,40.48,0.38,30,24
7.516,7,0,0.0,2271,40.48,0.38,30,24
7.6163,7,0,0.0,2271,40.48,0.38,30,24
7.7165,7,0,0.0,2271,40.48,0.38,30,24
7.8167,7,0,0.0,2271,40.48,0.38,30,24
7.9169,7,0,0.0,2271,40.48,0.38,30,24
8.0173,7,0,0.0,2271,40.48,0.38,30,24
8.1175,6,0,0.0,2214,40.5,0.35,30,24
8.2177,6,0,0.0,2000,40.51,0.32,30,24
8.3179,6,0,0.0,1942,40.5,0.28,30,24
8.4181,6,0,0.0,1914,40.5,0.28,30,24
8.5183,6,0,0.0,1914,40.5,0.28,30,24
8.6185,6,0,0.0,1914,40.5,0.28,30,24
8.7187,6,0,0.0,1914,40.5,0.28,30,24
8.8189,6,0,0.0,1914,40.5,0.28,30,24
8.9191,6,0,0.0,1914,40.5,0.28,30,24
9.0193,6,0,0.0,1914,40.5,0.28,30,24
9.1205,8,0,0.0,1914,40.5,0.28,30,24
9.2206,8,0,0.0,2142,40.45,0.35,30,24
9.3208,8,0,0.0,2385,40.5,0.41,30,24
9.421,8,0,0.0,2514,40.49,0.45,30,24
9.5212,8,0,0.0,2542,40.49,0.51,30,24
9.6216,8,0,0.0,2557,40.49,0.48,30,24
9.7218,8,0,0.0,2557,40.5,0.48,30,24
9.822,8,0,0.0,2557,40.5,0.45,30,24
9.9221,8,0,0.0,2542,40.5,0.45,30,24
10.0223,10,0,0.0,2714,40.48,0.48,30,24
10.1225,10,0,0.0,3028,40.48,0.57,30,24
10.2227,10,0,0.0,3085,40.48,0.61,30,24
10.3229,10,0,0.0,3100,40.5,0.67,30,24
10.4231,10,0,0.0,3100,40.49,0.67,30,24
10.5237,10,0,0.0,3114,40.49,0.64,30,24
10.624,10,0,0.0,3100,40.48,0.61,30,24
10.7242,10,0,0.0,3114,40.49,0.61,30,24
10.8244,12,0,0.0,3114,40.48,0.61,30,25
10.9246,12,0,0.0,3471,40.46,0.7,30,25
11.0249,12,0,0.0,3685,40.48,0.8,30,25
11.1251,12,0,0.0,3700,40.48,0.83,30,25
