time_s,throttle_pct,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah
0.0716,3,0,0.0,614,40.5,0.09,30,21
0.1718,3,0,0.0,614,40.5,0.09,30,21
0.2719,3,0,0.0,614,40.5,0.09,30,21
0.372,3,0,0.0,600,40.51,0.09,30,21
0.4722,3,0,0.0,600,40.52,0.09,30,21
0.5723,3,0,0.0,614,40.52,0.09,30,21
0.6725,3,0,0.0,614,40.53,0.09,30,21
0.7726,3,0,0.0,614,40.53,0.09,30,21
0.8728,3,0,0.0,600,40.53,0.09,30,21
0.9729,3,0,0.0,600,40.53,0.09,30,21
1.0731,3,0,0.0,614,40.53,0.09,30,21
1.1732,3,0,0.0,600,40.53,0.09,30,21
1.2734,3,0,0.0,600,40.53,0.09,30,21
1.3736,3,0,0.0,614,40.53,0.09,30,21
1.4737,3,0,0.0,614,40.51,0.09,30,21
1.5739,3,0,0.0,614,40.51,0.09,30,21
1.6741,3,0,0.0,600,40.51,0.09,30,21
1.7742,3,0,0.0,614,40.51,0.09,30,21
1.8744,3,0,0.0,600,40.53,0.09,30,21
1.9746,3,0,0.0,600,40.53,0.09,30,21
2.0747,3,0,0.0,614,40.53,0.09,30,21
2.1749,3,0,0.0,600,40.53,0.09,30,21
2.2753,3,0,0.0,600,40.53,0.09,30,21
2.3755,3,0,0.0,614,40.53,0.09,30,21
2.4757,3,0,0.0,614,40.52,0.09,30,21
2.5759,3,0,0.0,600,40.52,0.09,30,21
2.6761,3,0,0.0,600,40.5,0.09,30,21
2.7764,3,0,0.0,600,40.5,0.09,30,21
2.8766,3,0,0.0,600,40.5,0.09,30,21
2.9768,3,0,0.0,600,40.52,0.09,30,21
3.077,3,0,0.0,614,40.52,0.09,30,21
3.1772,3,0,0.0,600,40.52,0.09,30,21
3.2774,3,0,0.0,614,40.52,0.09,30,21
3.3777,3,0,0.0,614,40.52,0.09,30,21
3.4779,3,0,0.0,600,40.52,0.09,30,21
3.5781,3,0,0.0,600,40.52,0.09,30,21
3.6783,3,0,0.0,600,40.51,0.09,30,21
3.7785,3,0,0.0,614,40.5,0.09,30,21
3.8787,3,0,0.0,614,40.51,0.09,30,21
3.979,3,0,0.0,600,40.5,0.09,30,21
4.0791,11,0,0.0,614,40.5,0.09,30,21
4.1794,11,0,0.0,2642,40.47,0.51,30,21
4.2795,11,0,0.0,3185,40.48,0.74,30,21
4.3797,11,0,0.0,3385,40.49,0.9,30,21
4.4799,11,0,0.0,3428,40.5,1.06,30,21
4.58,11,0,0.0,3428,40.5,0.8,30,21
4.6803,11,0,0.0,3442,40.5,0.74,30,21
4.7805,11,0,0.0,3442,40.49,0.7,30,21
4.8806,11,0,0.0,3442,40.49,0.7,30,21
4.9814,11,0,0.0,3428,40.49,0.7,30,21
5.0816,11,0,0.0,3428,40.48,0.7,30,21
5.1817,11,0,0.0,3442,40.48,0.7,30,21
5.2819,11,0,0.0,3442,40.48,0.7,30,21
5.3821,11,0,0.0,3442,40.49,0.7,30,21
5.4823,11,0,0.0,3428,40.48,0.7,30,21
5.5849,11,0,0.0,3442,40.48,0.7,30,21
5.6851,11,0,0.0,3428,40.5,0.7,30,21
5.7853,11,0,0.0,3428,40.49,0.7,30,21
5.8854,11,0,0.0,3442,40.49,0.7,30,21
5.9856,11,0,0.0,3442,40.5,0.7,30,21
6.0858,11,0,0.0,3428,40.48,0.7,30,21
6.186,8,0,0.0,3428,40.48,0.7,30,21
6.2874,8,0,0.0,3428,40.48,0.7,30,21
6.3875,8,0,0.0,2757,42.05,0.57,30,21
6.4877,8,0,0.0,2571,40.46,0.48,30,21
6.5878,8,0,0.0,2557,40.48,0.41,30,21
6.688,8,0,0.0,2557,40.48,0.38,30,21
6.7881,8,0,0.0,2557,40.48,0.45,30,21
6.8883,8,0,0.0,2542,40.48,0.45,30,21
6.9885,8,0,0.0,2542,40.48,0.45,30,21
7.0887,8,0,0.0,2557,40.49,0.45,30,21
7.1889,6,0,0.0,2557,40.49,0.45,30,21
7.2891,6,0,0.0,2228,41.03,0.38,30,21
7.3893,6,0,0.0,1971,40.46,0.32,30,21
7.4895,6,0,0.0,1928,40.48,0.28,30,21
7.5896,6,0,0.0,1914,40.48,0.25,30,21
7.6898,6,0,0.0,1914,40.48,0.28,30,21
7.7899,6,0,0.0,1900,40.49,0.28,30,21
7.8901,6,0,0.0,1914,40.48,0.28,30,21
7.9903,6,0,0.0,1900,40.48,0.28,30,21
8.0905,6,0,0.0,1900,40.48,0.28,30,21
8.1906,6,0,0.0,1900,40.48,0.28,30,21
8.2908,6,0,0.0,1914,40.49,0.28,30,21
8.391,6,0,0.0,1900,40.49,0.28,30,21
8.4911,6,0,0.0,1900,40.49,0.28,30,21
8.5913,6,0,0.0,1900,40.49,0.28,30,21
8.6914,6,0,0.0,1900,40.5,0.28,30,21
8.7916,6,0,0.0,1914,40.5,0.28,30,21
8.8917,6,0,0.0,1900,40.5,0.28,30,21
8.992,6,0,0.0,1900,40.5,0.28,30,21
9.0922,6,0,0.0,1900,40.5,0.28,30,21
9.1923,6,0,0.0,1914,40.5,0.28,30,21
9.2925,6,0,0.0,1900,40.5,0.28,31,21
9.3926,6,0,0.0,1914,40.5,0.28,30,21
9.4929,6,0,0.0,1914,40.5,0.28,30,21
9.593,6,0,0.0,1914,40.5,0.28,31,21
9.6932,5,0,0.0,1900,40.5,0.28,30,21
