time_s,throttle_pct,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.034,0,0,-0.22,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
0.1343,0,0,-0.27,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
0.2346,0,0,-0.4,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
0.3349,0,0,-0.29,0,44.55,0.03,29,79,3.23,0.12,30.0,25.0
0.4351,0,0,-0.29,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
0.5354,0,0,-0.3,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
0.6356,0,0,-0.23,0,44.54,0.03,28,79,3.23,0.12,30.0,25.0
0.7359,0,0,-0.21,0,44.54,0.03,28,79,3.23,0.12,30.0,25.0
0.8361,0,0,-0.22,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
0.9364,0,0,-0.28,0,44.54,0.03,28,79,3.23,0.12,30.0,25.0
1.0367,0,0,-0.25,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
1.1369,0,0,-0.24,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
1.2372,0,0,-0.29,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
1.3374,0,0,-0.31,0,44.54,0.03,28,79,3.23,0.12,30.0,25.0
1.4377,0,0,-0.23,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
1.538,0,0,-0.29,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
1.6382,0,0,-0.3,0,44.55,0.03,29,79,3.23,0.12,30.0,25.0
1.7385,0,0,-0.28,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
1.8387,0,0,-0.28,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
1.939,0,0,-0.31,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
2.0392,0,0,-0.3,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
2.1395,0,0,-0.31,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
2.2398,0,0,-0.22,0,44.54,0.03,28,79,3.23,0.12,30.0,25.0
2.34,5,0,-0.13,0,44.54,0.03,29,79,3.23,0.12,30.0,25.0
2.4403,5,823,-0.05,828,44.54,0.12,29,79,3.23,0.12,30.0,25.0
2.5406,5,1085,3.28,1114,44.56,0.16,29,79,2.92,0.13,22.52,25.0
2.6408,5,1283,10.08,1300,44.54,0.22,28,79,3.18,0.13,29.23,25.0
2.7411,5,1353,14.36,1385,44.55,0.25,28,79,3.22,0.52,30.0,17.92
2.8414,5,1427,16.68,1428,44.54,0.22,29,79,3.22,0.13,30.0,25.0
2.9418,6,1446,18.09,1457,44.54,0.22,29,79,3.23,0.13,30.0,25.0
3.042,6,1528,19.09,1528,44.54,0.25,29,79,3.23,0.13,30.0,25.0
3.1423,6,1690,21.63,1714,44.53,0.28,29,79,3.22,0.64,30.0,27.25
3.2425,6,1781,25.75,1785,44.53,0.32,29,79,3.23,0.12,30.0,25.0
3.3427,6,1818,28.86,1814,44.53,0.32,29,79,3.23,0.13,30.0,25.0
3.443,6,1832,30.5,1828,44.53,0.35,29,79,3.23,0.13,30.0,25.0
3.5432,6,1845,31.43,1842,44.53,0.35,29,79,3.23,0.13,30.0,25.0
3.6435,6,1842,31.99,1842,44.55,0.35,29,79,3.22,0.12,30.0,25.0
3.7438,6,1842,32.41,1842,44.54,0.35,29,79,3.23,0.13,30.0,25.0
3.844,6,1841,32.52,1842,44.54,0.32,28,79,3.23,0.12,30.0,25.0
3.9443,7,1848,32.84,1842,44.54,0.35,29,79,3.23,0.13,30.0,25.0
4.0445,7,1928,32.81,1942,44.54,0.35,29,79,3.22,0.12,30.0,25.0
4.1447,7,2090,34.39,2085,44.54,0.38,28,79,3.22,0.13,30.0,25.0
4.245,7,2152,38.63,2157,44.54,0.41,29,79,3.22,0.12,30.0,25.0
