time_s,throttle_pct,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah
0.0866,1,0,-1.92,0,40.49,0.03,28,11
0.1868,1,0,-1.84,0,40.49,0.03,27,11
0.287,1,0,-1.74,0,40.49,0.03,27,11
0.3872,1,0,-1.8,0,40.49,0.03,28,11
0.4874,1,0,-1.9,0,40.48,0.03,27,11
0.5875,1,0,-1.87,0,40.48,0.03,28,11
0.6877,1,0,-1.91,0,40.48,0.03,27,11
0.7879,1,0,-1.87,0,40.48,0.03,27,11
0.888,1,0,-1.92,0,40.48,0.03,28,11
0.9882,1,0,-1.89,0,40.48,0.03,27,11
1.0884,1,0,-1.78,0,40.48,0.03,28,11
1.1886,1,0,-1.95,0,40.48,0.03,27,11
1.2888,1,0,-1.96,0,40.48,0.03,28,11
1.389,1,0,-1.82,0,40.48,0.03,27,11
1.4891,1,0,-1.82,0,40.48,0.03,27,11
1.5893,1,0,-1.92,0,40.48,0.03,27,11
1.6895,1,0,-1.84,0,40.48,0.03,28,11
1.7897,1,0,-1.79,0,40.48,0.03,28,11
1.8899,1,0,-1.86,0,40.48,0.03,28,11
1.99,1,0,-1.89,0,40.48,0.03,28,11
2.0902,8,0,-1.86,0,40.48,0.03,28,11
2.1906,8,0,-1.86,157,40.4,0.25,28,11
2.2907,8,1679,-1.22,1871,40.5,0.48,28,11
2.3917,8,2159,6.41,2242,40.5,0.61,27,11
2.4919,8,2401,15.9,2485,40.5,0.74,27,11
2.5921,8,2525,21.89,2542,40.49,0.54,28,11
2.6924,8,2553,25.92,2557,40.49,0.51,28,11
2.7936,8,2568,27.9,2557,40.48,0.48,28,11
2.8938,8,2548,28.59,2557,40.48,0.45,27,11
2.9939,8,2548,29.05,2557,40.48,0.45,27,11
3.0941,8,2553,29.16,2557,40.48,0.45,27,11
3.1943,8,2544,29.2,2557,40.48,0.45,28,11
3.2945,8,2559,29.36,2557,40.48,0.45,27,11
3.3946,8,2538,29.2,2557,40.48,0.45,28,11
3.4948,8,2510,29.17,2557,40.48,0.45,28,11
3.5949,8,2553,29.23,2557,40.48,0.45,27,11
3.6951,8,2561,29.35,2557,40.48,0.45,27,11
3.7953,8,2557,29.34,2557,40.48,0.45,27,11
3.8954,8,2553,29.48,2557,40.48,0.45,28,11
3.9956,8,2525,29.38,2557,40.48,0.45,28,11
4.0958,8,2568,29.3,2557,40.48,0.45,27,11
4.196,8,2553,29.33,2557,40.48,0.45,28,11
4.2962,9,2555,29.43,2557,40.48,0.45,28,11
4.3963,9,2624,29.42,2714,40.48,0.48,28,11
4.4965,9,2832,29.77,2842,40.48,0.51,28,11
4.5967,9,2835,32.32,2842,40.48,0.54,28,11
4.6968,9,2835,35.56,2842,40.48,0.57,28,11
4.797,9,2830,37.07,2842,40.48,0.54,28,11
4.8971,9,2846,37.11,2842,40.48,0.54,27,11
4.9973,9,2843,37.04,2857,40.48,0.54,28,11
5.0975,9,2830,36.98,2842,40.48,0.54,27,11
5.1976,12,2862,37.0,3000,40.46,0.57,27,11
5.2978,12,3389,37.09,3557,40.47,0.74,28,11
5.398,12,3645,39.32,3700,40.48,0.8,28,11
5.4982,12,3640,50.25,3700,40.48,0.86,28,11
5.5984,12,3685,60.68,3700,40.47,0.93,28,11
5.6985,12,1867,63.37,3700,40.48,0.83,28,11
5.7987,12,3658,63.63,3700,40.48,0.77,28,11
5.8989,12,3658,63.79,3714,40.48,0.8,27,11
5.999,12,3640,63.72,3700,40.49,0.77,28,11
6.1007,14,3663,63.57,3714,40.48,0.8,28,11
6.2008,14,3694,63.79,3828,40.45,0.83,28,11
6.301,14,4149,63.89,4142,40.49,0.93,28,12
6.4011,14,4149,66.6,4171,40.49,0.99,28,12
6.5013,14,2092,75.92,4171,40.48,1.03,28,12
6.6015,14,2100,80.87,4185,40.48,1.03,28,12
6.7017,14,2077,81.03,4171,40.48,0.96,28,12
6.8019,14,4149,81.09,4171,40.48,0.96,28,12
6.902,14,4149,81.29,4185,40.48,0.96,28,12
7.0022,14,4184,81.54,4171,40.48,0.96,28,12
7.1029,10,4149,81.19,4157,40.48,0.96,28,12
7.2031,10,3432,80.96,3285,41.5,0.74,28,12
7.3033,10,3138,78.71,3114,40.46,0.61,28,12
7.4039,10,3099,63.35,3114,40.46,0.54,28,12
7.5041,10,3121,44.8,3114,40.48,0.48,28,12
7.6043,10,3105,44.53,3114,40.48,0.57,28,12
7.7045,10,3108,44.66,3114,40.48,0.61,28,12
7.8054,10,3089,44.61,3114,40.48,0.61,28,12
7.9055,8,3099,44.67,3114,40.48,0.61,28,12
8.0057,8,2854,44.62,2814,41.1,0.54,28,12
8.1059,8,2626,44.52,2585,40.44,0.48,28,12
8.2061,8,2577,41.59,2557,40.46,0.45,28,12
8.3063,8,2564,33.6,2557,40.48,0.41,28,12
8.4064,8,2548,29.98,2557,40.48,0.45,28,12
8.5065,8,2538,29.91,2557,40.49,0.45,28,12
8.6067,8,2544,29.89,2557,40.49,0.45,28,12
8.7068,8,2540,29.96,2557,40.49,0.45,28,12
8.807,5,2555,30.06,2557,40.48,0.45,28,12
8.9072,5,2077,29.99,1928,42.04,0.38,28,12
9.0074,5,1736,28.88,1700,40.46,0.28,28,12
9.1076,5,1615,21.82,1614,40.46,0.22,28,12
9.2077,5,1571,13.95,1557,40.47,0.16,28,12
9.3079,5,1556,10.56,1542,40.48,0.19,28,12
9.4081,5,1534,10.12,1528,40.48,0.22,29,12
9.5082,3,1525,9.86,1528,40.48,0.22,28,12
9.6084,3,1485,9.73,1271,40.48,0.19,28,12
9.7087,3,1190,9.64,1000,40.48,0.16,28,12
9.8089,3,957,7.23,885,40.48,0.12,28,12
9.909,3,850,3.95,771,40.48,0.09,28,12
10.0092,3,775,2.21,728,40.5,0.09,28,12
10.1094,3,719,1.37,685,40.51,0.09,28,12
10.2096,3,702,0.73,657,40.51,0.09,28,12
10.3097,1,669,0.56,642,40.5,0.09,28,12
10.4099,1,639,0.36,528,40.5,0.09,28,12
10.5101,1,630,-0.02,285,40.5,0.06,28,12
10.6103,1,630,-1.09,142,40.49,0.06,28,12
10.7105,1,415,-1.66,457,40.5,0.09,29,12
10.8107,1,415,-1.42,342,40.5,0.09,28,12
10.9109,1,328,-0.44,228,40.51,0.09,28,12
11.0111,1,267,-0.87,128,40.5,0.06,28,12
11.1113,1,307,-1.22,457,40.5,0.06,29,12
11.2115,1,328,-0.39,285,40.5,0.06,29,12
11.3117,1,328,-0.98,157,40.48,0.06,29,12
11.4119,1,246,-1.7,357,40.48,0.06,28,12
11.5121,1,307,-1.18,400,40.48,0.09,28,12
11.6123,1,388,-0.17,200,40.49,0.09,28,12
11.7125,1,388,-0.93,0,40.49,0.03,28,12
11.8127,1,388,-1.66,0,40.48,0.03,28,12
11.9129,1,388,-1.79,0,40.48,0.03,28,12
12.0131,1,0,-1.71,0,40.48,0.03,28,12
12.1133,1,0,-1.72,0,40.48,0.03,28,12
12.2135,1,0,-1.68,0,40.48,0.03,28,12
12.3137,1,0,-1.62,0,40.48,0.03,28,12
12.4138,1,0,-1.57,0,40.48,0.03,28,12
12.514,1,0,-1.59,0,40.48,0.03,28,12
12.6141,1,0,-1.58,0,40.48,0.03,28,12
12.7144,1,0,-1.57,0,40.48,0.03,28,12
12.8145,1,0,-1.59,0,40.48,0.03,28,12
12.9147,1,0,-1.57,0,40.48,0.03,28,12
13.0149,1,0,-1.66,0,40.48,0.03,28,12
13.1151,1,0,-1.68,0,40.48,0.03,28,12
13.2153,1,0,-1.63,0,40.48,0.03,28,12
13.3155,1,0,-1.59,0,40.48,0.03,28,12
13.4156,1,0,-1.61,0,40.48,0.03,28,12
13.5158,1,0,-1.58,0,40.48,0.03,28,12
13.616,1,0,-1.6,0,40.48,0.03,28,12
