time_s,throttle,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pitch_hall,enc_deg,pitch_enc
0.0692,378,7.73,2514,12.74,0.45,33,72,5.16,0.0,
0.1694,378,7.88,2500,12.74,0.45,33,72,5.13,0.0,
0.2696,378,7.68,2500,12.74,0.45,33,72,5.28,0.0,
0.3698,378,7.42,2500,12.74,0.45,32,72,5.21,0.0,
0.47,378,7.38,2514,12.74,0.48,33,72,5.13,0.0,
0.5702,378,7.19,2500,12.74,0.45,33,72,5.11,0.0,
0.6704,378,7.45,2500,12.74,0.48,33,72,5.12,0.0,
0.7707,378,7.57,2500,12.74,0.45,33,72,5.19,0.0,
0.8709,378,7.59,2500,12.74,0.45,33,72,5.3,0.0,
0.9711,378,7.49,2500,12.74,0.45,33,72,5.17,0.0,
1.0714,378,7.49,2500,12.74,0.48,33,72,5.15,0.0,
1.1715,378,7.38,2514,12.74,0.48,33,72,5.03,0.0,
1.2717,378,7.35,2514,12.74,0.48,33,72,5.17,0.0,
1.3719,378,7.46,2514,12.74,0.48,33,72,5.17,0.0,
1.4721,378,7.17,2514,12.74,0.48,33,72,5.25,0.0,
1.5723,378,7.45,2514,12.74,0.48,33,72,5.21,0.0,
1.6725,378,7.6,2514,12.74,0.45,33,73,5.01,0.0,
1.7728,378,7.5,2500,12.74,0.45,33,73,5.05,0.0,
1.873,378,7.14,2500,12.74,0.48,33,73,5.15,0.0,
1.9732,378,7.08,2514,12.74,0.45,33,73,5.15,0.0,
2.0734,378,7.3,2514,12.74,0.45,33,73,5.21,0.0,
2.1736,378,7.5,2514,12.74,0.45,32,73,5.23,0.0,
2.2738,378,7.38,2500,12.74,0.45,33,73,5.05,0.0,
2.374,378,7.34,2514,12.74,0.45,32,73,5.15,0.0,
2.4742,378,7.29,2514,12.74,0.45,34,73,5.11,0.0,
2.5744,378,7.13,2514,12.74,0.45,33,73,5.17,0.0,
2.6746,378,7.02,2514,12.74,0.48,33,73,5.12,0.0,
2.7748,378,7.26,2514,12.74,0.48,33,73,5.19,0.0,
2.875,378,7.36,2514,12.74,0.45,33,73,5.08,0.0,
2.9752,523,7.38,2842,12.74,0.77,33,73,5.46,0.0,
3.0754,523,7.7,3157,12.74,1.09,33,73,4.48,0.0,
3.1756,523,9.69,3271,12.74,1.28,33,73,4.14,0.0,
3.2758,523,7.35,3371,12.74,1.38,33,73,4.13,0.0,
3.376,523,6.24,3428,12.75,1.06,33,73,3.31,0.0,
3.4761,523,5.76,3471,12.74,0.9,33,73,3.85,0.0,
3.5763,523,5.45,3471,12.74,0.77,33,73,3.99,0.0,
3.6765,523,4.96,3471,12.74,0.8,33,73,3.35,0.0,
3.7767,523,4.55,3471,12.74,0.77,33,73,2.89,0.0,
3.8769,523,4.4,3500,12.75,0.77,33,73,3.14,0.0,
3.977,523,4.09,3471,12.74,0.77,33,73,3.39,0.0,
4.0772,523,3.86,3471,12.74,0.74,34,73,3.43,0.0,
4.1774,523,3.54,3471,12.74,0.74,33,73,2.83,0.0,
4.2775,523,3.36,3485,12.74,0.74,33,73,2.29,0.0,
4.3777,523,2.84,3485,12.74,0.74,33,73,2.7,0.0,
4.4778,523,2.39,3485,12.75,0.74,33,73,2.92,0.0,
4.578,523,2.11,3485,12.75,0.74,33,73,2.79,0.0,
4.6782,523,1.76,3485,12.74,0.77,33,73,2.01,0.0,
4.7784,523,1.31,3485,12.74,0.77,33,73,1.97,0.0,
4.8785,523,1.14,3485,12.74,0.77,33,73,2.5,0.0,
4.9787,523,1.23,3485,12.74,0.77,33,73,2.53,0.0,
5.0789,523,0.87,3485,12.74,0.77,33,73,2.17,0.0,
5.1791,523,0.57,3485,12.74,0.77,33,73,1.23,0.0,
5.2792,523,-0.01,3485,12.74,0.77,33,73,1.26,0.0,
5.3794,523,-0.57,3485,12.74,0.77,33,73,1.66,0.0,
5.4796,523,-0.96,3471,12.73,0.77,33,73,1.44,0.0,
5.5797,523,-1.72,3485,12.74,0.77,33,73,1.11,0.0,
5.6799,523,-2.15,3485,12.74,0.77,33,73,0.38,0.0,
5.7801,523,-2.98,3471,12.74,0.77,33,73,0.32,0.0,
5.8803,523,-3.05,3471,12.74,0.77,33,73,0.9,0.0,
5.9804,567,-3.4,3485,12.74,0.74,33,73,0.79,0.0,
6.0806,567,-3.54,3485,12.73,0.77,33,73,0.48,0.0,
6.1808,567,-3.72,3642,12.74,0.93,33,73,0.45,0.0,
6.2809,567,-3.99,3714,12.74,0.99,33,73,0.87,0.0,
6.3811,567,-4.61,3714,12.74,1.06,33,73,-0.31,0.0,
6.4813,567,-5.75,3728,12.74,1.03,33,73,0.15,0.0,
6.5815,567,-6.3,3757,12.74,0.99,34,73,-0.83,0.0,
6.6818,567,-6.24,3771,12.74,0.96,33,73,-0.3,0.0,
6.782,567,-6.38,3742,12.74,0.99,33,74,-0.42,0.0,
6.8822,567,-6.6,3757,12.74,0.99,33,74,0.1,0.0,
6.9824,567,-6.74,3742,12.74,0.99,33,74,-0.44,0.0,
7.0826,567,-6.57,3771,12.74,0.96,33,74,-0.62,0.0,
7.1828,567,-6.7,3742,12.74,0.96,33,74,-0.22,0.0,
7.283,567,-6.55,3742,12.75,0.96,33,74,0.02,0.0,
7.3832,567,-6.51,3771,12.74,1.03,33,74,-0.31,0.0,
7.4833,567,-6.74,3757,12.74,0.99,33,74,-0.84,0.0,
7.5835,567,-6.69,3742,12.74,0.99,33,74,0.13,0.0,
7.6837,567,-6.71,3757,12.74,0.93,33,74,0.01,0.0,
7.7838,567,-6.82,3771,12.74,0.93,33,74,-0.16,0.0,
7.8841,567,-6.73,3757,12.74,0.93,34,74,-1.43,0.0,
7.9843,567,-6.87,3728,12.75,0.93,33,74,0.36,0.0,
8.0845,567,-7.0,3742,12.74,0.96,33,74,-0.07,0.0,
8.1847,567,-6.98,3771,12.74,0.96,33,74,-0.19,0.0,
8.2849,567,-6.83,3771,12.74,0.96,33,74,-1.6,0.0,
8.3852,612,-6.85,3757,12.76,0.99,33,74,0.76,0.0,
8.4854,612,-7.01,3771,12.75,0.96,33,74,-0.23,0.0,
8.5856,612,-6.89,3971,12.74,1.19,33,74,-0.74,0.0,
8.6858,612,-6.62,4000,12.74,1.35,33,74,-0.22,0.0,
8.786,612,-6.84,4028,12.74,1.44,33,74,0.42,0.0,
8.8862,612,-7.54,4028,12.74,1.38,33,74,-0.04,0.0,
8.9864,612,-7.82,4042,12.74,1.32,33,74,-0.93,0.0,
9.0866,612,-8.17,4085,12.75,1.25,33,74,-0.29,0.0,
9.1868,612,-8.44,4071,12.74,1.28,33,74,-0.66,0.0,
9.287,612,-8.45,4028,12.74,1.28,33,74,-0.28,0.0,
9.3872,612,-8.4,4057,12.74,1.28,33,74,-1.17,0.0,
9.4873,612,-8.22,4085,12.74,1.25,33,74,0.2,0.0,
9.5875,612,-8.4,4071,12.74,1.22,33,74,-0.84,0.0,
9.6877,612,-8.54,4028,12.74,1.22,33,74,-0.56,0.0,
9.788,612,-8.36,4057,12.74,1.22,33,74,-0.88,0.0,
9.8882,612,-8.31,4085,12.73,1.28,33,75,0.79,0.0,
9.9884,612,-8.18,4071,12.74,1.28,33,75,-1.31,0.0,
10.0886,612,-7.78,4028,12.74,1.32,33,75,-0.72,0.0,
10.1888,612,-8.03,4071,12.73,1.32,33,75,-0.69,0.0,
10.289,612,-8.29,4085,12.73,1.28,33,75,0.93,0.0,
10.3892,612,-7.98,4071,12.74,1.28,33,75,-1.64,0.0,
10.4894,612,-7.86,4028,12.74,1.22,33,75,-1.02,0.0,
10.5895,612,-7.98,4071,12.73,1.25,34,75,-0.43,0.0,
10.6898,612,-8.07,4071,12.74,1.22,33,75,1.07,0.0,
10.79,612,-8.12,4071,12.74,1.19,33,75,-1.81,0.0,
10.8902,612,-8.21,4028,12.75,1.19,33,75,-0.98,0.0,
10.9904,612,-8.19,4057,12.74,1.19,33,75,-0.17,0.0,
11.0905,612,-8.37,4085,12.74,1.19,33,75,0.79,0.0,
11.1908,612,-8.3,4071,12.74,1.22,33,75,-2.12,0.0,
11.2909,612,-8.13,4028,12.74,1.22,34,75,-0.81,0.0,
11.3911,612,-8.22,4057,12.74,1.32,33,75,-0.1,0.0,
11.4913,612,-8.33,4085,12.73,1.32,33,75,0.34,0.0,
11.5915,612,-8.19,4085,12.74,1.32,33,75,-1.79,0.0,
11.6917,612,-8.26,4028,12.75,1.32,33,75,-0.3,0.0,
11.7919,612,-7.84,4057,12.74,1.25,34,75,0.1,0.0,
11.8921,612,-7.9,4100,12.72,1.25,33,75,0.01,0.0,
11.9932,612,-8.05,4028,12.74,1.28,33,75,-1.48,0.0,
12.0933,612,-7.96,4057,12.74,1.25,33,75,-0.6,0.0,
12.1935,668,-7.61,4114,12.73,1.35,33,75,-0.22,0.0,
12.2937,668,-7.7,4242,12.74,1.54,33,75,-0.5,0.0,
12.3939,668,-7.41,4371,12.71,1.77,33,75,-1.37,0.0,
12.4941,668,-7.32,4371,12.74,1.86,33,75,-1.23,0.0,
12.5942,668,-7.93,4357,12.74,1.77,33,75,-1.79,0.0,
12.6944,668,-8.83,4357,12.74,1.67,33,75,-1.38,0.0,
12.7946,668,-8.49,4385,12.73,1.64,33,76,-2.7,0.0,
