time_s,throttle_pct,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0329,4,1217,-0.49,1228,44.54,0.16,25,101,2.06,1.24,-9.38,-11.52
0.1332,4,1228,-0.57,1214,44.54,0.16,25,101,2.08,1.46,-8.43,-29.92
0.2335,4,1221,-0.56,1214,44.54,0.16,25,101,2.12,1.25,-6.54,-12.62
0.3338,4,1223,-0.48,1214,44.54,0.16,25,101,2.05,1.24,-9.85,-11.52
0.4341,4,1220,-0.45,1228,44.54,0.16,25,101,2.12,1.43,-6.54,-26.66
0.5343,4,1230,-0.45,1214,44.54,0.16,26,101,2.11,1.23,-7.01,-10.42
0.6347,4,1216,-0.58,1228,44.54,0.16,25,101,2.02,1.25,-15.24,-12.62
0.735,4,1216,-0.51,1214,44.54,0.12,25,101,2.09,1.39,-7.96,-18.86
0.8354,4,1219,-0.52,1214,44.54,0.16,25,101,2.09,1.41,-7.96,-23.42
0.9357,4,1204,-0.58,1214,44.54,0.16,25,101,1.96,1.24,-19.32,-11.52
1.036,4,1219,-0.56,1214,44.54,0.16,25,101,2.1,1.24,-7.48,-11.52
1.1364,4,1222,-0.56,1228,44.54,0.16,25,101,2.08,1.44,-8.43,-27.75
1.2367,4,1221,-0.61,1214,44.54,0.16,26,101,2.08,1.24,-8.43,-11.52
1.337,4,1233,-0.58,1214,44.54,0.12,25,101,2.09,1.25,-7.96,-12.62
1.438,4,1228,-0.64,1214,44.54,0.16,25,101,2.12,1.45,-6.54,-28.83
1.5383,4,1221,-0.64,1228,44.54,0.16,25,101,2.05,1.25,-9.85,-12.62
1.6386,4,1221,-0.72,1214,44.54,0.16,25,101,2.07,1.24,-8.91,-11.52
1.739,4,1218,-0.71,1214,44.54,0.16,25,101,2.1,1.44,-7.48,-27.75
1.8393,4,1223,-0.6,1228,44.54,0.16,26,101,2.09,1.25,-7.96,-12.62
1.9397,6,1217,-0.65,1228,44.54,0.16,25,101,1.9,1.24,-28.0,-11.52
2.04,6,1314,-0.61,1285,44.53,0.16,25,101,2.1,1.13,-7.48,0.77
2.1404,6,1743,-0.32,1742,44.52,0.22,25,101,2.12,1.23,-6.54,-10.42
2.2407,6,1941,1.65,1928,44.52,0.25,25,101,2.14,1.19,-5.59,-6.02
2.3409,6,2042,4.44,2028,44.52,0.32,25,101,2.14,1.23,-5.59,-10.42
2.4412,6,2073,6.14,2085,44.52,0.32,26,101,2.03,1.22,-13.61,-9.32
2.5415,6,2121,7.24,2114,44.52,0.32,26,101,2.13,1.23,-6.06,-10.42
2.6418,6,2126,7.84,2128,44.53,0.32,25,101,2.13,1.21,-6.06,-8.22
2.7421,6,2141,8.08,2128,44.53,0.32,25,101,2.13,1.21,-6.06,-8.22
2.8423,6,2123,8.14,2128,44.53,0.32,26,101,2.13,1.41,-6.06,-23.42
2.9426,6,2147,8.19,2142,44.53,0.32,25,101,2.14,1.17,-5.59,-1.55
3.0429,6,2130,8.21,2128,44.53,0.32,25,101,2.19,1.33,-1.8,-11.73
3.1432,6,2138,8.2,2142,44.53,0.32,25,101,2.14,1.21,-5.59,-8.22
3.2436,6,2133,8.12,2142,44.53,0.32,25,101,2.14,1.24,-5.59,-11.52
3.3438,6,2139,8.22,2128,44.53,0.32,25,101,2.14,1.22,-5.59,-9.32
3.4441,6,2133,8.17,2142,44.53,0.32,25,101,2.13,1.2,-6.06,-7.12
3.5444,6,2139,8.15,2142,44.53,0.32,25,101,2.13,1.21,-6.06,-8.22
3.6447,6,2139,8.1,2142,44.53,0.32,25,101,2.13,1.23,-6.06,-10.42
3.7449,8,2141,8.2,2142,44.53,0.32,26,101,2.13,1.21,-6.06,-8.22
3.8452,8,2259,8.26,2142,44.54,0.32,26,101,2.13,1.38,-6.06,-17.67
3.9455,8,2633,8.5,2528,44.51,0.38,25,101,2.14,1.21,-5.59,-8.22
4.0457,8,2788,10.44,2757,44.53,0.45,26,101,2.15,1.23,-5.11,-10.42
4.1461,8,2822,13.84,2828,44.53,0.51,26,101,2.13,1.33,-6.06,-11.73
4.2464,8,2827,16.09,2828,44.53,0.51,26,102,2.14,1.23,-5.59,-10.42
4.3486,8,2822,16.84,2828,44.53,0.48,26,102,2.14,1.2,-5.59,-7.12
4.4488,8,2827,16.76,2828,44.53,0.45,25,102,2.15,1.22,-5.11,-9.32
4.5491,8,2822,16.85,2828,44.53,0.45,25,102,2.14,1.32,-5.59,-10.55
4.6493,8,2816,16.97,2842,44.53,0.45,26,102,2.14,1.21,-5.59,-8.22
4.7496,8,2822,16.97,2828,44.53,0.45,26,102,2.14,1.41,-5.59,-23.42
4.8499,8,2822,16.95,2842,44.53,0.45,26,102,2.13,1.23,-6.06,-10.42
4.9501,8,2822,16.94,2828,44.53,0.45,25,102,2.15,1.42,-5.11,-25.57
5.0517,8,2822,16.86,2828,44.53,0.45,25,102,2.13,1.54,-6.06,-30.0
5.1519,8,2803,16.76,2828,44.53,0.45,26,102,2.13,1.38,-6.06,-17.67
5.2523,8,2832,16.79,2828,44.53,0.45,25,102,2.17,1.26,-3.5,-13.71
5.3525,8,2822,16.9,2842,44.53,0.45,25,102,2.16,1.21,-4.35,-8.22
5.4528,8,2824,16.8,2828,44.53,0.48,25,102,2.17,1.41,-3.5,-23.42
5.5531,9,2827,16.76,2971,44.52,0.48,26,102,2.15,1.22,-5.11,-9.32
5.6534,9,3018,16.72,3128,44.52,0.54,26,102,2.14,1.21,-5.59,-8.22
5.7537,9,3118,17.2,3142,44.51,0.54,26,102,2.15,1.21,-5.11,-8.22
5.854,9,3108,19.55,3157,44.52,0.57,25,102,2.14,1.2,-5.59,-7.12
5.9542,9,3134,21.38,3142,44.52,0.57,25,102,2.14,1.14,-5.59,0.55
6.0545,9,3138,21.85,3157,44.52,0.54,26,102,2.13,1.21,-6.06,-8.22
6.1548,9,3144,21.96,3142,44.52,0.54,25,102,2.13,1.21,-6.06,-8.22
6.2551,9,3138,21.95,3157,44.52,0.54,26,102,2.13,1.19,-6.06,-6.02
6.3554,9,3134,21.97,3142,44.52,0.51,26,102,2.14,1.21,-5.59,-8.22
6.4556,9,3138,21.92,3142,44.52,0.54,26,102,1.91,1.21,-26.81,-8.22
6.5559,9,3134,21.95,3157,44.52,0.54,26,102,2.15,1.2,-5.11,-7.12
6.6562,9,3154,22.12,3157,44.52,0.54,26,102,2.13,1.2,-6.06,-7.12
6.7565,9,3147,21.93,3157,44.53,0.54,26,102,2.13,1.21,-6.06,-8.22
6.8568,9,3138,21.8,3157,44.52,0.54,26,102,2.14,1.2,-5.59,-7.12
6.957,9,3141,21.96,3157,44.52,0.54,26,102,2.14,1.21,-5.59,-8.22
7.0573,10,3144,22.03,3157,44.52,0.54,26,102,2.13,1.2,-6.06,-7.12
7.1575,10,3208,22.02,3428,44.52,0.61,26,102,2.13,1.21,-6.06,-8.22
7.2578,10,3448,22.06,3485,44.54,0.64,26,102,2.13,1.21,-6.06,-8.22
7.358,10,3460,25.32,3485,44.54,0.67,26,102,2.13,1.19,-6.06,-6.02
7.4583,10,3468,27.65,3485,44.54,0.7,26,102,2.15,1.19,-5.11,-6.02
7.5585,10,3476,28.32,3485,44.54,0.64,26,102,2.07,1.21,-8.91,-8.22
7.6587,10,3468,28.52,3485,44.54,0.64,26,102,1.87,1.2,-30.0,-7.12
7.759,10,3480,28.58,3485,44.54,0.64,26,102,2.14,1.18,-5.59,-4.77
7.8592,10,3476,28.53,3485,44.53,0.64,25,102,2.13,1.2,-6.06,-7.12
7.9595,10,3452,28.55,3485,44.54,0.61,26,102,2.08,1.21,-8.43,-8.22
8.0597,11,3452,28.48,3485,44.54,0.61,26,102,1.9,1.21,-28.0,-8.22
8.16,11,3685,28.47,3771,44.53,0.7,26,102,2.14,1.21,-5.59,-8.22
8.2603,11,3740,28.49,3785,44.54,0.7,27,102,2.16,1.21,-4.35,-8.22
8.3605,11,3735,32.47,3800,44.54,0.74,26,102,2.14,1.19,-5.59,-6.02
8.4607,11,3778,34.81,3771,44.54,0.77,26,102,2.14,1.21,-5.59,-8.22
8.561,11,3694,35.11,3785,44.54,0.7,26,102,2.01,1.2,-15.92,-7.12
8.6613,11,3680,35.22,3771,44.54,0.7,26,102,1.93,1.21,-24.02,-8.22
8.7615,11,1892,35.17,3771,44.54,0.7,27,102,2.14,1.21,-5.59,-8.22
8.8617,11,3754,35.19,3785,44.54,0.7,27,102,2.15,1.21,-5.11,-8.22
8.962,11,3778,35.2,3785,44.54,0.7,27,102,2.14,1.2,-5.59,-7.12
9.0623,11,3764,35.03,3785,44.54,0.7,26,102,2.15,1.2,-5.11,-7.12
9.1625,11,3764,34.89,3785,44.53,0.7,26,102,2.14,1.2,-5.59,-7.12
9.2628,11,3792,35.02,3785,44.52,0.7,27,102,2.17,1.13,-3.5,0.77
9.363,13,3731,35.29,3957,44.48,0.77,27,102,2.14,1.19,-5.59,-6.02
9.4633,13,2145,35.22,4314,44.53,0.86,27,102,2.15,1.18,-5.11,-4.77
9.5635,13,4297,35.98,4328,44.53,0.9,26,102,2.14,1.2,-5.59,-7.12
9.6638,13,4297,41.97,4314,44.52,0.93,27,102,2.15,1.21,-5.11,-8.22
9.7641,13,4297,46.98,4328,44.54,0.93,27,102,2.15,1.21,-5.11,-8.22
9.8643,13,2162,47.63,4342,44.54,0.86,26,102,2.14,1.2,-5.59,-7.12
9.9645,13,4273,47.73,4342,44.54,0.86,27,102,2.14,1.21,-5.59,-8.22
10.0648,13,2162,47.74,4328,44.54,0.86,27,102,2.14,1.21,-5.59,-8.22
10.165,13,4322,47.82,4314,44.54,0.86,26,102,2.16,1.2,-4.35,-7.12
10.2653,13,4304,47.68,4328,44.54,0.86,26,103,2.18,1.21,-2.65,-8.22
10.3655,13,2166,47.62,4314,44.53,0.86,26,103,2.16,1.21,-4.35,-8.22
10.4657,13,4322,47.63,4342,44.53,0.9,27,103,1.85,1.19,-30.0,-6.02
10.5673,13,4189,47.93,4328,44.52,0.86,27,103,2.17,1.21,-3.5,-8.22
10.6676,13,4316,47.75,4314,44.53,0.86,26,103,2.18,1.19,-2.65,-6.02
10.7683,13,4310,47.75,4328,44.53,0.86,27,103,2.15,1.2,-5.11,-7.12
10.8685,13,2164,47.81,4314,44.52,0.86,27,103,2.16,1.2,-4.35,-7.12
10.9688,13,4291,47.8,4342,44.52,0.86,27,103,2.15,1.2,-5.11,-7.12
11.069,13,2159,47.42,4342,44.52,0.86,26,103,2.15,1.21,-5.11,-8.22
11.1693,13,4329,47.4,4342,44.52,0.86,27,103,2.16,1.27,-4.35,-14.81
11.2696,13,4285,47.57,4328,44.52,0.86,26,103,2.18,1.18,-2.65,-4.77
11.3698,13,4297,47.82,4300,44.52,0.86,27,103,2.15,1.21,-5.11,-8.22
11.47,13,4322,47.83,4328,44.53,0.86,27,103,1.91,1.21,-26.81,-8.22
11.5702,13,4267,47.74,4342,44.51,0.9,27,103,2.15,1.2,-5.11,-7.12
11.6705,13,4297,47.49,4342,44.51,0.9,27,103,2.22,1.2,0.54,-7.12
11.7707,13,2166,47.4,4328,44.5,0.86,26,103,2.17,1.21,-3.5,-8.22
11.8709,13,4316,47.86,4328,44.51,0.86,27,103,2.15,1.2,-5.11,-7.12
11.9711,13,4297,47.95,4314,44.51,0.86,26,103,2.16,1.21,-4.35,-8.22
12.0713,13,2159,47.96,4328,44.52,0.86,27,103,2.15,1.21,-5.11,-8.22
12.1715,13,4310,47.54,4342,44.54,0.86,27,103,2.16,1.21,-4.35,-8.22
12.2718,15,4297,47.75,4428,44.5,0.9,27,103,2.15,1.44,-5.11,-27.75
12.3721,15,4870,48.82,4985,44.54,1.12,27,103,2.14,1.49,-5.59,-30.0
12.4723,15,2497,55.23,4971,44.54,1.15,27,103,2.15,1.2,-5.11,-7.12
12.5725,15,4950,63.27,5000,44.54,1.15,26,103,2.14,1.2,-5.59,-7.12
12.6728,15,4991,65.47,5000,44.53,1.12,27,103,2.13,1.18,-6.06,-4.77
12.773,15,4950,65.27,4985,44.53,1.06,27,103,2.14,1.22,-5.59,-9.32
12.8736,15,2493,65.27,5000,44.52,1.03,27,103,2.13,1.21,-6.06,-8.22
12.9739,15,5093,64.97,4985,44.52,1.12,27,103,2.17,1.19,-3.5,-6.02
13.0742,15,4983,64.77,5000,44.52,1.12,27,103,2.13,1.21,-6.06,-8.22
13.1744,15,5000,64.88,4985,44.54,1.06,27,103,2.14,1.2,-5.59,-7.12
13.2747,15,4823,64.87,5014,44.52,1.06,27,103,2.12,1.21,-6.54,-8.22
13.3749,15,2491,64.85,4971,44.53,1.06,27,103,2.15,1.22,-5.11,-9.32
13.4764,15,4975,65.11,5000,44.52,1.12,27,103,2.13,1.19,-6.06,-6.02
13.5766,15,4942,65.04,5000,44.53,1.15,27,103,2.15,1.21,-5.11,-8.22
13.6768,15,4966,64.5,5000,44.52,1.15,27,103,2.15,1.2,-5.11,-7.12
13.7771,15,4975,64.44,4971,44.53,1.15,27,103,2.14,1.2,-5.59,-7.12
13.882,15,2595,64.75,5000,44.52,1.12,27,103,2.14,0.0,-5.59,25.0
13.9823,15,4958,64.99,5014,44.51,1.12,27,103,2.13,1.22,-6.06,-9.32
14.0825,16,2586,64.93,5014,44.52,1.15,27,103,2.15,0.0,-5.11,25.0
14.1828,16,2610,64.88,5271,44.51,1.25,27,103,1.85,0.01,-30.0,25.0
14.283,16,5235,66.79,5328,44.54,1.25,27,103,2.14,1.2,-5.59,-7.12
14.3833,16,2652,73.0,5342,44.53,1.28,27,104,2.15,1.19,-5.11,-6.02
14.4839,16,2657,77.49,5328,44.53,1.28,27,104,2.14,1.2,-5.59,-7.12
14.5841,16,2659,78.93,5314,44.52,1.22,27,104,2.16,1.2,-4.35,-7.12
14.6844,16,5281,79.07,5314,44.53,1.22,27,104,2.15,1.2,-5.11,-7.12
14.7847,16,5281,79.07,5328,44.52,1.19,27,104,2.15,1.18,-5.11,-4.77
14.8849,16,5300,78.98,5300,44.52,1.19,27,104,2.15,1.19,-5.11,-6.02
14.9851,16,2654,79.29,5300,44.52,1.15,27,104,2.15,1.2,-5.11,-7.12
15.0854,16,5291,79.41,5328,44.53,1.19,27,104,2.16,1.2,-4.35,-7.12
15.1856,16,2652,79.26,5314,44.53,1.19,27,104,2.14,1.19,-5.59,-6.02
15.2859,16,5281,79.39,5342,44.53,1.22,27,104,2.15,1.2,-5.11,-7.12
15.3861,16,2659,79.46,5314,44.52,1.22,27,104,2.16,1.18,-4.35,-4.77
15.4863,18,2729,79.36,5642,44.45,1.32,27,104,2.14,1.19,-5.59,-6.02
15.5866,18,2906,82.69,5828,44.54,1.41,28,104,2.14,1.2,-5.59,-7.12
15.6868,18,2912,92.54,5828,44.54,1.41,28,104,2.16,1.19,-4.35,-6.02
15.7871,18,2909,96.21,5814,44.54,1.48,28,104,2.14,1.19,-5.59,-6.02
15.8873,18,2912,96.38,5842,44.53,1.54,28,104,2.15,1.18,-5.11,-4.77
15.9875,18,2915,96.71,5814,44.5,1.41,27,104,2.15,1.2,-5.11,-7.12
16.0878,18,5628,97.05,5857,44.51,1.44,27,104,2.14,1.19,-5.59,-6.02
16.188,18,2926,96.77,5842,44.52,1.41,27,104,2.17,1.19,-3.5,-6.02
16.2882,18,2915,96.44,5842,44.52,1.41,27,104,2.16,1.18,-4.35,-4.77
16.3885,18,2915,96.5,5842,44.53,1.38,28,105,2.14,1.19,-5.59,-6.02
16.4887,18,5791,96.47,5857,44.51,1.38,27,105,2.15,1.2,-5.11,-7.12
16.5889,18,5747,96.59,5785,44.51,1.38,27,105,2.15,1.18,-5.11,-4.77
16.6892,20,2918,96.65,5814,44.52,1.38,28,105,2.14,1.19,-5.59,-6.02
16.7895,20,3036,96.38,6228,44.43,1.48,28,105,2.14,1.19,-5.59,-6.02
16.8897,20,6423,98.45,6442,44.52,1.64,27,105,2.15,1.08,-5.11,1.87
16.99,20,6465,109.62,6457,44.54,1.67,28,105,2.15,1.19,-5.11,-6.02
17.0902,20,6437,119.02,6485,44.53,1.73,28,105,2.14,1.19,-5.59,-6.02
17.1904,20,6410,120.53,6457,44.51,1.8,28,105,2.15,1.18,-5.11,-4.77
17.2906,20,3225,120.57,6457,44.51,1.64,28,105,2.16,1.18,-4.35,-4.77
