time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg,enc_deg,pitch_enc
0.0939,239,0,-12.72,1314,24.29,0.19,29,18,0.0,0.0,-20.0,-20.0,355.869,-2.21
0.1942,239,0,-12.92,1314,24.29,0.19,29,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
0.2945,239,0,-13.13,1314,24.29,0.19,28,18,0.0,0.0,-20.0,-20.0,355.869,-2.21
0.3948,239,0,-13.08,1314,24.29,0.19,29,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
0.4951,239,0,-13.01,1314,24.27,0.19,28,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
0.5954,239,0,-12.99,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,355.869,-2.21
0.6957,239,0,-13.04,1314,24.27,0.19,28,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
0.7959,239,0,-13.0,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,355.869,-2.21
0.8962,239,0,-12.92,1314,24.28,0.19,29,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
0.9965,239,0,-12.98,1314,24.28,0.19,28,18,0.0,0.0,-20.0,-20.0,355.957,-1.93
1.0967,239,0,-13.05,1314,24.27,0.19,28,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
1.197,239,0,-13.04,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,355.869,-2.21
1.2973,239,0,-12.98,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
1.3975,239,0,-12.91,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
1.4978,239,0,-12.94,1314,24.27,0.19,28,18,0.0,0.0,-20.0,-20.0,355.957,-1.93
1.5981,239,0,-13.03,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
1.6983,239,0,-13.03,1314,24.27,0.19,30,18,0.0,0.0,-20.0,-20.0,355.957,-1.93
1.7986,239,0,-12.86,1314,24.28,0.19,28,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
1.8989,239,0,-12.71,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,355.869,-2.21
1.9991,239,0,-12.72,1314,24.27,0.19,28,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
2.0994,239,0,-12.87,1314,24.27,0.19,28,18,0.0,0.0,-20.0,-20.0,355.869,-2.21
2.1996,239,0,-13.06,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,355.869,-2.21
2.2999,239,0,-13.02,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
2.4002,239,0,-13.01,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,355.869,-2.21
2.5004,239,0,-12.98,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
2.6007,239,0,-13.08,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,355.869,-2.21
2.701,279,0,-12.83,1314,24.27,0.19,29,18,0.0,0.0,-20.0,-20.0,356.045,-1.65
2.8013,279,0,-12.76,1414,24.27,0.22,28,19,0.0,0.0,-20.0,-20.0,355.869,-2.21
2.9015,279,0,-12.82,1514,24.27,0.25,29,19,0.0,0.0,-20.0,-20.0,356.045,-1.65
3.0018,279,0,-12.63,1557,24.27,0.25,29,19,0.0,0.0,-20.0,-20.0,356.045,-1.65
3.1021,279,0,-13.09,1557,24.27,0.25,29,19,0.0,0.0,-20.0,-20.0,356.133,-1.37
3.2023,279,0,-13.51,1557,24.27,0.25,29,19,0.0,0.0,-20.0,-20.0,356.133,-1.37
3.3026,279,0,-13.68,1571,24.27,0.22,28,19,0.0,0.0,-20.0,-20.0,356.133,-1.37
3.4029,279,0,-13.86,1557,24.28,0.22,28,19,0.0,0.0,-20.0,-20.0,356.133,-1.37
3.5032,279,0,-13.66,1557,24.27,0.22,28,19,0.0,0.0,-20.0,-20.0,356.133,-1.37
3.6035,279,0,-13.54,1571,24.27,0.22,29,19,0.0,0.0,-20.0,-20.0,356.133,-1.37
3.7037,319,0,-13.61,1728,24.27,0.25,28,19,0.0,0.0,-20.0,-20.0,356.133,-1.37
3.8041,319,0,-13.31,1800,24.27,0.25,29,19,0.0,0.0,-20.0,-20.0,356.133,-1.37
3.9044,319,0,-13.27,1814,24.27,0.28,29,19,0.0,0.0,-20.0,-20.0,356.133,-1.37
4.0047,319,0,-14.14,1828,24.27,0.28,28,19,0.0,0.0,-20.0,-20.0,356.221,-1.09
4.1051,319,0,-14.64,1828,24.27,0.25,28,19,0.0,0.0,-20.0,-20.0,356.221,-1.09
4.2054,319,0,-14.85,1828,24.27,0.25,29,19,0.0,0.0,-20.0,-20.0,356.133,-1.37
4.3056,319,0,-14.47,1828,24.27,0.25,29,19,0.0,0.0,-20.0,-20.0,356.221,-1.09
4.4061,353,0,-14.52,1828,24.27,0.25,29,19,0.0,0.0,-20.0,-20.0,356.133,-1.37
4.5064,353,0,-14.52,1928,24.27,0.28,28,19,0.0,0.0,-20.0,-20.0,356.309,-0.82
4.6067,353,0,-14.19,2028,24.27,0.32,28,19,0.0,0.0,-20.0,-20.0,356.396,-0.54
4.707,353,0,-14.27,2028,24.27,0.32,29,19,0.0,0.0,-20.0,-20.0,356.396,-0.54
