time_s,throttle,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pitch_hall,enc_deg,pitch_enc
0.0511,401,-1.89,2685,12.75,0.48,33,4,-4.78,0.0,
0.1513,401,-1.89,2685,12.75,0.48,34,4,-4.12,0.0,
0.2515,401,-1.84,2671,12.75,0.48,33,4,-4.91,0.0,
0.3517,401,-1.88,2657,12.75,0.48,33,4,-4.09,0.0,
0.4519,401,-1.95,2657,12.75,0.48,33,4,-4.58,0.0,
0.5521,401,-2.0,2671,12.76,0.48,33,4,-4.13,0.0,
0.6523,401,-1.9,2657,12.75,0.48,33,4,-4.43,0.0,
0.7526,401,-1.8,2671,12.75,0.51,33,4,-3.97,0.0,
0.8528,401,-1.78,2671,12.75,0.48,33,4,-4.11,0.0,
0.953,401,-1.94,2685,12.75,0.48,33,4,-4.4,0.0,
1.0532,401,-2.14,2671,12.75,0.51,33,4,-4.1,0.0,
1.1533,401,-2.11,2671,12.75,0.51,33,4,-5.07,0.0,
1.2535,401,-2.08,2671,12.75,0.48,33,4,-4.18,0.0,
1.3537,401,-2.09,2657,12.75,0.48,33,4,-4.46,0.0,
1.4539,401,-1.86,2657,12.75,0.48,33,4,-4.05,0.0,
1.5541,401,-1.94,2671,12.75,0.51,33,4,-4.48,0.0,
1.6543,401,-1.66,2685,12.75,0.51,33,4,-3.93,0.0,
1.7545,401,-1.73,2671,12.75,0.51,33,4,-4.01,0.0,
1.8547,401,-1.86,2671,12.75,0.51,33,4,-4.31,0.0,
1.9548,401,-2.05,2671,12.74,0.48,33,4,-4.04,0.0,
2.055,490,-2.08,2671,12.74,0.48,33,4,-4.91,0.0,
2.1553,490,-2.05,2900,12.73,0.67,33,4,-4.18,0.0,
2.2554,490,-1.92,3042,12.74,0.83,33,4,-4.08,0.0,
2.3557,490,-1.58,3100,12.75,0.96,33,4,-4.22,0.0,
2.4559,490,-3.42,3214,12.74,0.99,33,4,-4.42,0.0,
2.556,490,-3.97,3214,12.74,0.83,33,4,-3.56,0.0,
2.6562,490,-4.23,3242,12.74,0.74,33,4,-4.14,0.0,
2.7564,490,-4.08,3257,12.74,0.67,33,4,-4.21,0.0,
2.8567,490,-3.81,3228,12.74,0.64,33,5,-3.75,0.0,
2.9569,490,-3.78,3257,12.74,0.67,33,5,-4.54,0.0,
3.0571,490,-3.86,3242,12.75,0.7,33,5,-3.63,0.0,
3.1573,490,-3.66,3271,12.75,0.74,33,5,-4.3,0.0,
3.2575,490,-3.5,3271,12.76,0.74,33,5,-4.1,0.0,
3.3578,490,-4.04,3242,12.75,0.74,33,5,-4.0,0.0,
3.458,490,-4.44,3242,12.76,0.74,33,5,-4.46,0.0,
3.5583,490,-4.18,3228,12.74,0.74,33,5,-3.96,0.0,
3.6585,490,-4.23,3257,12.74,0.74,33,5,-4.47,0.0,
3.7586,490,-4.18,3257,12.74,0.77,33,5,-3.64,0.0,
3.859,490,-4.22,3242,12.74,0.77,33,5,-4.38,0.0,
3.9592,490,-4.44,3257,12.74,0.74,33,5,-4.07,0.0,
4.0594,490,-4.24,3257,12.74,0.7,33,5,-4.43,0.0,
4.1597,490,-4.46,3271,12.74,0.64,34,5,-3.93,0.0,
4.26,490,-4.13,3257,12.74,0.64,33,5,-4.76,0.0,
4.3602,490,-4.26,3271,12.74,0.7,33,5,-4.04,0.0,
4.4604,490,-4.26,3257,12.74,0.67,33,5,-4.2,0.0,
4.5606,490,-4.2,3242,12.75,0.7,33,5,-4.5,0.0,
4.6607,490,-4.1,3257,12.76,0.67,33,5,-4.16,0.0,
4.761,656,-4.27,3228,12.74,0.7,33,5,-4.79,0.0,
4.8612,656,-4.2,3314,12.73,0.8,33,5,-3.1,0.0,
4.9614,656,-4.01,3828,12.74,1.51,34,5,-0.27,0.0,
5.0616,656,-1.8,4042,12.73,1.93,33,5,0.68,0.0,
5.1618,656,1.96,4200,12.74,2.25,33,5,0.02,0.0,
5.262,656,4.82,4257,12.74,1.99,33,5,-0.29,0.0,
5.3622,656,6.24,4300,12.75,1.7,33,5,-1.73,0.0,
5.4624,656,7.43,4400,12.74,1.57,33,5,-2.48,0.0,
5.5626,656,7.57,4314,12.72,1.54,33,5,0.07,0.0,
5.6628,656,7.3,4314,12.74,1.48,33,5,-0.29,0.0,
5.763,656,7.67,4371,12.72,1.48,33,5,-1.81,0.0,
5.8632,656,7.22,4414,12.75,1.44,33,5,-2.31,0.0,
5.9634,656,7.6,4328,12.74,1.44,33,5,-0.02,0.0,
6.0636,656,7.33,4314,12.74,1.48,33,5,-0.86,0.0,
6.1638,656,7.13,4328,12.73,1.51,33,5,-1.92,0.0,
6.264,656,7.33,4428,12.74,1.54,34,5,-1.38,0.0,
6.3642,656,7.72,4342,12.74,1.54,33,5,0.17,0.0,
6.4644,656,7.89,4300,12.74,1.48,33,5,-1.38,0.0,
6.5646,656,7.43,4342,12.74,1.44,34,5,-2.54,0.0,
6.6648,656,7.53,4414,12.74,1.38,33,5,-0.9,0.0,
6.7649,656,8.67,4342,12.74,1.38,33,5,0.15,0.0,
6.8651,656,8.36,4328,12.74,1.35,33,5,-2.08,0.0,
6.9652,656,7.65,4342,12.74,1.38,33,6,-2.26,0.0,
7.0654,656,7.61,4428,12.74,1.44,33,6,0.08,0.0,
7.1655,656,7.84,4342,12.74,1.44,33,6,0.07,0.0,
7.2657,656,7.94,4328,12.74,1.48,33,6,-1.6,0.0,
7.3659,656,7.95,4314,12.75,1.38,33,6,-2.49,0.0,
7.466,656,7.36,4400,12.74,1.38,33,6,0.13,0.0,
7.5662,656,7.53,4357,12.74,1.35,34,6,-0.43,0.0,
7.6663,656,6.83,4328,12.74,1.41,33,6,-2.15,0.0,
7.7665,656,7.02,4314,12.74,1.44,33,6,-2.1,0.0,
7.8667,656,7.63,4400,12.73,1.44,33,6,0.06,0.0,
7.9668,656,7.65,4400,12.74,1.41,33,6,-1.29,0.0,
8.067,656,7.68,4357,12.75,1.35,33,6,-2.53,0.0,
8.1672,790,7.78,4314,12.74,1.35,34,6,-0.05,0.0,
8.2673,790,8.03,4600,12.74,1.6,33,6,-0.79,0.0,
8.3675,790,8.75,4742,12.71,2.12,33,6,0.28,0.0,
8.4677,790,13.07,4942,12.74,2.57,34,6,-3.05,0.0,
8.5679,790,14.99,5100,12.74,2.86,33,6,0.26,0.0,
8.6682,790,16.68,5228,12.74,2.76,33,6,-2.81,0.0,
8.7684,790,17.92,5242,12.73,2.54,33,6,0.99,0.0,
8.8685,790,18.56,5171,12.72,2.38,33,6,-0.99,0.0,
8.9687,790,18.68,5185,12.73,2.25,33,7,-2.65,0.0,
9.0689,790,19.29,5128,12.73,2.22,33,7,1.27,0.0,
9.1691,790,19.82,5128,12.74,2.18,33,7,-1.95,0.0,
9.2694,790,19.25,5257,12.74,2.12,33,7,-2.44,0.0,
9.3695,790,18.33,5314,12.73,2.12,33,7,0.96,0.0,
9.4698,790,18.18,5314,12.74,2.09,33,7,-2.47,0.0,
9.5699,790,18.45,5214,12.73,2.09,33,7,-1.4,0.0,
9.6701,790,17.94,5214,12.73,2.06,34,7,1.08,0.0,
9.7702,790,17.69,5185,12.73,2.02,33,7,-2.48,0.0,
9.8705,790,18.31,5142,12.74,2.06,33,7,-1.91,0.0,
9.9707,790,18.35,5157,12.72,2.09,33,7,1.04,0.0,
10.0708,790,18.08,5128,12.73,2.15,33,7,-1.6,0.0,
10.1711,790,17.55,5171,12.74,2.15,34,7,-2.4,0.0,
10.2712,790,17.68,5171,12.72,2.15,34,7,0.92,0.0,
10.3714,790,17.94,5314,12.73,2.12,33,7,-0.62,0.0,
10.4716,790,17.28,5257,12.74,2.09,33,7,-2.56,0.0,
10.5718,790,16.97,5271,12.73,2.09,34,7,0.34,0.0,
10.672,790,16.51,5242,12.74,2.09,33,7,0.11,0.0,
10.7722,790,16.72,5300,12.74,2.06,33,7,-3.07,0.0,
10.8724,790,17.8,5242,12.74,2.09,33,8,-0.53,0.0,
10.9726,790,17.55,5285,12.72,2.06,33,8,0.36,0.0,
11.0727,790,18.65,5242,12.73,2.09,33,8,-3.13,0.0,
11.1729,790,18.3,5214,12.74,2.12,33,8,-1.56,0.0,
11.2731,790,17.43,5214,12.73,2.06,33,8,0.56,0.0,
11.3732,790,16.52,5157,12.74,2.02,33,8,-2.96,0.0,
11.4734,790,17.14,5157,12.72,1.99,33,8,-1.99,0.0,
11.5736,790,16.31,5214,12.74,1.99,33,8,0.16,0.0,
11.6737,790,15.66,5157,12.73,2.06,33,8,-2.57,0.0,
11.7739,1047,15.91,5214,12.73,2.02,33,8,-2.65,0.0,
11.8741,1047,16.29,5585,11.47,2.73,33,8,-3.1,0.0,
11.9742,1047,15.99,6057,11.94,3.67,33,9,0.04,0.0,
12.0744,1047,18.26,6400,12.49,4.18,33,9,-3.3,0.0,
12.1745,1047,19.76,6628,12.72,4.7,33,9,-2.47,0.0,
12.2747,1047,19.04,6800,12.73,4.57,33,9,-4.08,0.0,
12.3749,1047,16.65,6814,12.72,3.96,33,9,-1.54,0.0,
12.475,1047,14.6,6757,12.72,3.54,33,9,1.24,0.0,
12.5752,1047,13.47,6885,12.72,3.21,33,9,-4.95,0.0,
12.6754,1047,12.09,6928,12.72,2.99,33,9,-0.22,0.0,
12.7755,1047,8.85,6757,12.74,2.86,34,9,-1.62,0.0,
12.8757,1047,5.58,6857,12.74,2.86,33,9,-5.06,0.0,
12.976,1047,4.52,6757,12.74,2.92,33,10,-0.03,0.0,
13.0761,1047,4.28,6814,12.74,2.96,33,10,-2.16,0.0,
13.1763,1047,3.58,6857,12.73,3.12,33,10,-5.35,0.0,
13.2764,1047,3.49,6828,12.73,3.15,33,10,0.14,0.0,
13.3766,1047,3.88,6842,12.74,3.09,33,10,-2.15,0.0,
13.4767,1047,2.86,6857,12.71,3.15,33,10,-5.27,0.0,
13.5769,1047,3.11,6871,12.74,3.12,34,10,-0.07,0.0,
13.677,1047,3.04,6785,12.74,3.09,34,10,-2.03,0.0,
13.7772,1047,3.52,6828,12.74,3.12,33,10,-5.67,0.0,
13.8773,1047,3.95,6814,12.71,3.09,33,10,-1.06,0.0,
