time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg,enc_deg,pitch_enc
0.0909,97,0,0.82,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
0.1912,97,0,0.82,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
0.2915,97,0,0.95,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
0.3917,97,0,0.95,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
0.492,97,0,0.96,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
0.5922,97,0,0.96,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
0.6925,97,0,0.62,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
0.7927,97,0,0.62,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
0.893,97,0,0.79,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
0.9932,97,0,0.79,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
1.0935,97,0,0.56,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
1.1937,97,0,0.56,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
1.294,97,0,0.79,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
1.3943,97,0,0.79,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
1.4945,97,0,0.8,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
1.5948,97,0,0.8,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
1.6951,97,0,0.67,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
1.7954,97,0,0.67,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
1.8957,97,0,0.99,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
1.996,97,0,0.99,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
2.0963,97,0,0.87,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
2.1966,97,0,0.87,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
2.2969,97,0,0.74,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
2.3972,97,0,0.74,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
2.4975,97,0,0.76,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
2.598,97,0,0.76,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
2.6984,97,0,0.69,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
2.7997,165,0,0.69,500,12.72,0.06,30,16,0.0,0.0,-20.0,-20.0,349.189,0.0
