time_s,throttle,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pitch_hall,enc_deg,pitch_enc
0.0012,200,-11.76,1128,12.72,0.22,33,5,-36.75,0.0,
0.1016,200,-11.79,1128,12.72,0.22,33,5,-36.85,0.0,
0.2018,200,-11.88,1128,12.72,0.22,33,5,-36.73,0.0,
0.3019,200,-11.83,1128,12.72,0.22,33,5,-36.68,0.0,
0.4021,200,-11.54,1128,12.72,0.22,33,5,-36.2,0.0,
0.5023,200,-11.25,1128,12.72,0.22,33,5,-36.66,0.0,
0.6025,200,-11.43,1128,12.72,0.22,33,5,-36.71,0.0,
0.7028,200,-11.57,1128,12.72,0.22,33,5,-36.64,0.0,
0.8029,200,-11.66,1142,12.72,0.22,33,5,-36.7,0.0,
0.9031,200,-11.58,1128,12.73,0.22,33,5,-36.45,0.0,
1.0032,200,-11.51,1128,12.72,0.22,33,5,-36.75,0.0,
1.1033,200,-11.62,1128,12.72,0.22,34,5,-36.74,0.0,
1.2035,200,-11.53,1128,12.72,0.22,33,5,-36.56,0.0,
1.3036,200,-11.69,1128,12.72,0.22,33,5,-36.72,0.0,
1.4038,200,-11.73,1128,12.72,0.22,34,5,-36.53,0.0,
1.5039,200,-11.52,1128,12.72,0.22,33,5,-36.51,0.0,
1.6041,200,-11.13,1128,12.72,0.22,33,5,-36.67,0.0,
1.7042,200,-11.4,1128,12.72,0.22,34,5,-36.55,0.0,
1.8044,334,-11.94,1200,12.72,0.28,33,5,-36.32,0.0,
1.9046,334,-12.33,1557,12.71,0.51,33,5,-36.42,0.0,
2.0048,334,-17.17,1685,12.71,0.64,33,5,-36.37,0.0,
2.1049,334,-27.18,1771,12.72,0.8,33,5,-36.16,0.0,
2.2051,334,-33.33,1785,12.72,0.7,33,5,-36.14,0.0,
2.3053,334,-36.52,1814,12.72,0.67,33,5,-36.14,0.0,
2.4054,334,-38.02,1828,12.72,0.64,33,5,-36.12,0.0,
2.5057,334,-38.52,1857,12.72,0.64,34,5,-35.37,0.0,
2.6059,334,-38.29,1857,12.72,0.61,33,5,-35.72,0.0,
2.706,334,-39.84,1871,12.72,0.64,33,5,-35.16,0.0,
2.8062,334,-40.56,1871,12.72,0.61,33,5,-35.36,0.0,
2.9064,334,-40.68,1900,12.72,0.61,33,5,-35.26,0.0,
3.0065,334,-40.89,1900,12.72,0.61,33,5,-34.79,0.0,
